event_name,event_timestamp,user_pseudo_id,unique_session_id,data.path,user_properties.subscription_state,user_properties.subscription_product,user_properties.app_language,user_properties.feature_new_onboarding,user_properties.ab_tooltips_enabled,event_properties.id,event_properties.title
bodygraph_channels_open,1710893390583000,cf1a3b7c-c2d3-4fba-9ca7-f199082b5c1f,cf1a3b7c-c2d3-4fba-9ca7-f199082b5c1f_1710893357482,/,subscribed,yearly_t_2,en,False,False,31,The Channel of Power
bodygraph_channels_open,1710893400789000,cf1a3b7c-c2d3-4fba-9ca7-f199082b5c1f,cf1a3b7c-c2d3-4fba-9ca7-f199082b5c1f_1710893357482,/,subscribed,yearly_t_2,en,False,False,7,The Channel of the Alpha
bodygraph_channels_open,1710893415820000,cf1a3b7c-c2d3-4fba-9ca7-f199082b5c1f,cf1a3b7c-c2d3-4fba-9ca7-f199082b5c1f_1710893357482,/,subscribed,yearly_t_2,en,False,False,6,The Channel of Intimacy (Mating)
bodygraph_channels_open,1710896048673000,a98684e1-6ff5-452f-bd2b-42c31fc125ca,a98684e1-6ff5-452f-bd2b-42c31fc125ca_1710895583684,/,subscribed,weekly_1299_intro_promo_discount,en,False,False,30,The Channel of Transformation
bodygraph_channels_open,1710896107910000,a98684e1-6ff5-452f-bd2b-42c31fc125ca,a98684e1-6ff5-452f-bd2b-42c31fc125ca_1710895583684,/,subscribed,weekly_1299_intro_promo_discount,en,False,False,17,The Channel of Judgement
bodygraph_channels_open,1710930041284000,eaba1ae1-1159-4db9-95de-99ee859f4c3f,eaba1ae1-1159-4db9-95de-99ee859f4c3f_1710929999204,/,subscribed,yearly_t_2,en,True,False,18,The Channel of Synthesis
bodygraph_channels_open,1710936785533000,a26cefc9-13c6-44e5-b436-dc3a40844eb0,a26cefc9-13c6-44e5-b436-dc3a40844eb0_1710936351431,/,subscribed,weekly_1299_intro_promo_discount,en,False,False,35,The Channel of Maturation
bodygraph_channels_open,1710936802461000,a26cefc9-13c6-44e5-b436-dc3a40844eb0,a26cefc9-13c6-44e5-b436-dc3a40844eb0_1710936351431,/,subscribed,weekly_1299_intro_promo_discount,en,False,False,34,The Channel of Emotion
bodygraph_channels_open,1710936827140000,a26cefc9-13c6-44e5-b436-dc3a40844eb0,a26cefc9-13c6-44e5-b436-dc3a40844eb0_1710936351431,/,subscribed,weekly_1299_intro_promo_discount,en,False,False,27,The Channel of Struggle
bodygraph_channels_open,1710937198342000,a26cefc9-13c6-44e5-b436-dc3a40844eb0,a26cefc9-13c6-44e5-b436-dc3a40844eb0_1710936351431,/,subscribed,weekly_1299_intro_promo_discount,en,False,False,34,The Channel of Emotion
bodygraph_channels_open,1710937207150000,a26cefc9-13c6-44e5-b436-dc3a40844eb0,a26cefc9-13c6-44e5-b436-dc3a40844eb0_1710936351431,/,subscribed,weekly_1299_intro_promo_discount,en,False,False,27,The Channel of Struggle
bodygraph_channels_open,1710937212887000,a26cefc9-13c6-44e5-b436-dc3a40844eb0,a26cefc9-13c6-44e5-b436-dc3a40844eb0_1710936351431,/,subscribed,weekly_1299_intro_promo_discount,en,False,False,21,The Channel of Materialism
bodygraph_channels_open,1710943380116000,b45ce4e3-048e-46ec-92d9-168bb239e29f,b45ce4e3-048e-46ec-92d9-168bb239e29f_1710941538694,/,subscribed,yearly_t_2,en,False,False,14,The Channel of the Prodigal
bodygraph_channels_open,1710943406832000,b45ce4e3-048e-46ec-92d9-168bb239e29f,b45ce4e3-048e-46ec-92d9-168bb239e29f_1710941538694,/,subscribed,yearly_t_2,en,False,False,8,The Channel of Concentration
bodygraph_channels_open,1710945656277000,e4d967f7-a907-4b27-896f-606de88180aa,e4d967f7-a907-4b27-896f-606de88180aa_1710945391253,/,subscribed,yearly_t_2,en,False,False,15,The Channel of Talent
bodygraph_channels_open,1710945692766000,e4d967f7-a907-4b27-896f-606de88180aa,e4d967f7-a907-4b27-896f-606de88180aa_1710945391253,/,subscribed,yearly_t_2,en,False,False,15,The Channel of Talent
bodygraph_channels_open,1710953158798000,3a5f7fe7-4864-42cf-8ba5-e1a0df547bc4,3a5f7fe7-4864-42cf-8ba5-e1a0df547bc4_1710953026640,/,subscribed,weekly_1299_intro_promo_discount,en,False,False,17,The Channel of Judgement
bodygraph_channels_open,1710960771683000,08d0be44-a87a-43ae-9a20-e5834c163172,08d0be44-a87a-43ae-9a20-e5834c163172_1710960636107,/,subscribed,yearly_t_2,en,False,False,2,The Channel of the Beat (Heartbeat)
bodygraph_channels_open,1710964392157000,2b969b36-e4f8-4503-b70b-e99eaeed7cf4,2b969b36-e4f8-4503-b70b-e99eaeed7cf4_1710964121382,/,subscribed,weekly_1299_intro_promo_discount,ru,False,False,34,Канал Эмоциональности
bodygraph_channels_open,1710964396537000,2b969b36-e4f8-4503-b70b-e99eaeed7cf4,2b969b36-e4f8-4503-b70b-e99eaeed7cf4_1710964121382,/,subscribed,weekly_1299_intro_promo_discount,ru,False,False,22,Канал Структурирования
bodygraph_channels_open,1710964404169000,2b969b36-e4f8-4503-b70b-e99eaeed7cf4,2b969b36-e4f8-4503-b70b-e99eaeed7cf4_1710964121382,/,subscribed,weekly_1299_intro_promo_discount,ru,False,False,9,Канал Пробуждения
bodygraph_channels_open,1710964411067000,2b969b36-e4f8-4503-b70b-e99eaeed7cf4,2b969b36-e4f8-4503-b70b-e99eaeed7cf4_1710964121382,/,subscribed,weekly_1299_intro_promo_discount,ru,False,False,6,Канал Близости (Спаривания)
bodygraph_channels_open,1710901735359000,9a874124-8bf1-4070-8cca-68a006a36a37,9a874124-8bf1-4070-8cca-68a006a36a37_1710900966657,/,subscribed,weekly_1299_intro_promo_discount,en,False,False,1,The Channel of Inspiration
bodygraph_channels_open,1710901783311000,9a874124-8bf1-4070-8cca-68a006a36a37,9a874124-8bf1-4070-8cca-68a006a36a37_1710900966657,/,subscribed,weekly_1299_intro_promo_discount,en,False,False,31,The Channel of Power
bodygraph_channels_open,1710969254507000,1d7e3fd1-c516-4409-84ba-a8754e1eb95c,1d7e3fd1-c516-4409-84ba-a8754e1eb95c_1710969218051,/,subscribed,6month_1_1999,en,True,False,6,The Channel of Intimacy (Mating)
bodygraph_channels_open,1710969260445000,1d7e3fd1-c516-4409-84ba-a8754e1eb95c,1d7e3fd1-c516-4409-84ba-a8754e1eb95c_1710969218051,/,subscribed,6month_1_1999,en,True,False,1,The Channel of Inspiration
bodygraph_channels_open,1710969271522000,1d7e3fd1-c516-4409-84ba-a8754e1eb95c,1d7e3fd1-c516-4409-84ba-a8754e1eb95c_1710969218051,/,subscribed,6month_1_1999,en,True,False,34,The Channel of Emotion
bodygraph_channels_open,1710969274324000,1d7e3fd1-c516-4409-84ba-a8754e1eb95c,1d7e3fd1-c516-4409-84ba-a8754e1eb95c_1710969218051,/,subscribed,6month_1_1999,en,True,False,34,The Channel of Emotion
bodygraph_channels_open,1710971194628000,ea494e5f-c230-4ff0-a871-a3358ce15f20,ea494e5f-c230-4ff0-a871-a3358ce15f20_1710969505916,/,subscribed,6month_1_1999,en,False,False,28,The Channel of Discovery
bodygraph_channels_open,1710971243324000,ea494e5f-c230-4ff0-a871-a3358ce15f20,ea494e5f-c230-4ff0-a871-a3358ce15f20_1710969505916,/,subscribed,6month_1_1999,en,False,False,22,The Channel of Structuring
bodygraph_channels_open,1710971253351000,ea494e5f-c230-4ff0-a871-a3358ce15f20,ea494e5f-c230-4ff0-a871-a3358ce15f20_1710969505916,/,subscribed,6month_1_1999,en,False,False,18,The Channel of Synthesis
bodygraph_channels_open,1710971525967000,ea494e5f-c230-4ff0-a871-a3358ce15f20,ea494e5f-c230-4ff0-a871-a3358ce15f20_1710969505916,/,subscribed,6month_1_1999,en,False,False,22,The Channel of Structuring
bodygraph_channels_open,1710974937294000,db2e9515-1e72-4c80-ba86-8ba946438e2f,db2e9515-1e72-4c80-ba86-8ba946438e2f_1710973550537,/,subscribed,yearly_t_2,en,False,False,12,The Channel of Curiosity
bodygraph_channels_open,1710976123210000,db2e9515-1e72-4c80-ba86-8ba946438e2f,db2e9515-1e72-4c80-ba86-8ba946438e2f_1710973550537,/,subscribed,yearly_t_2,en,False,False,12,The Channel of Curiosity
bodygraph_channels_open,1710904527547000,5c1587e9-d4c7-48f0-86af-1378da31ccc0,5c1587e9-d4c7-48f0-86af-1378da31ccc0_1710904501977,/,auto_renew_off,yearly_t_2,en,False,False,34,The Channel of Emotion
bodygraph_channels_open,1710915124199000,147d732a-eeab-416b-85b5-45b55ebab8b0,147d732a-eeab-416b-85b5-45b55ebab8b0_1710914541500,/,subscribed,yearly_t_2,en,False,False,27,The Channel of Struggle
bodygraph_channels_open,1710917033320000,147d732a-eeab-416b-85b5-45b55ebab8b0,147d732a-eeab-416b-85b5-45b55ebab8b0_1710916938840,/,subscribed,yearly_t_2,en,False,False,31,The Channel of Power
bodygraph_channels_open,1710917047228000,147d732a-eeab-416b-85b5-45b55ebab8b0,147d732a-eeab-416b-85b5-45b55ebab8b0_1710916938840,/,subscribed,yearly_t_2,en,False,False,30,The Channel of Transformation
bodygraph_channels_open,1710920251507000,17aa38d2-724a-434f-8000-b86ebd4a7fe1,17aa38d2-724a-434f-8000-b86ebd4a7fe1_1710920053778,/,subscribed,6month_1_1999,ru,False,False,13,Канал Открытости (Откровенности)
bodygraph_channels_open,1710922546405000,540a8a57-48ab-4b57-90eb-103da4d5ea5b,540a8a57-48ab-4b57-90eb-103da4d5ea5b_1710922479318,/,subscribed,yearly_t_2,en,False,False,22,The Channel of Structuring
bodygraph_channels_open,1710922556841000,540a8a57-48ab-4b57-90eb-103da4d5ea5b,540a8a57-48ab-4b57-90eb-103da4d5ea5b_1710922479318,/,subscribed,yearly_t_2,en,False,False,25,The Channel of Surrender
bodygraph_channels_open,1710924170843000,de9aac96-7e17-4168-9fac-0d8047867b1e,de9aac96-7e17-4168-9fac-0d8047867b1e_1710923051281,/,subscribed,yearly_t_2,en,False,False,36,The Channel of Abstraction
bodygraph_channels_open,1710925512950000,35b09107-4bc9-47b8-be9d-3acfadf549f2,35b09107-4bc9-47b8-be9d-3acfadf549f2_1710925117138,/,subscribed,yearly_t_2,es,True,False,10,El Canal de Exploración
bodygraph_channels_open,1710925539884000,35b09107-4bc9-47b8-be9d-3acfadf549f2,35b09107-4bc9-47b8-be9d-3acfadf549f2_1710925117138,/,subscribed,yearly_t_2,es,True,False,1,El Canal de Inspiración
bodygraph_channels_open,1710925569537000,35b09107-4bc9-47b8-be9d-3acfadf549f2,35b09107-4bc9-47b8-be9d-3acfadf549f2_1710925117138,/,subscribed,yearly_t_2,es,True,False,33,El Canal de Comunidad
bodygraph_channels_open,1710926036788000,35b09107-4bc9-47b8-be9d-3acfadf549f2,35b09107-4bc9-47b8-be9d-3acfadf549f2_1710925117138,/,subscribed,yearly_t_2,es,True,False,15,El Canal de Talento
bodygraph_channels_open,1710926049276000,35b09107-4bc9-47b8-be9d-3acfadf549f2,35b09107-4bc9-47b8-be9d-3acfadf549f2_1710925117138,/,subscribed,yearly_t_2,es,True,False,15,El Canal de Talento
bodygraph_channels_open,1710926107259000,35b09107-4bc9-47b8-be9d-3acfadf549f2,35b09107-4bc9-47b8-be9d-3acfadf549f2_1710925117138,/,subscribed,yearly_t_2,es,True,False,36,El Canal de Abstracción
bodygraph_channels_open,1710926852567000,35b09107-4bc9-47b8-be9d-3acfadf549f2,35b09107-4bc9-47b8-be9d-3acfadf549f2_1710925117138,/,subscribed,yearly_t_2,es,True,False,1,El Canal de Inspiración
